;Source Domain;Target Domain;Title;Metaphor;Example 
1125;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Moral Deeds Is Accumulating Creditputting Money Into Society.;I deserve something for all the good deeds I've done.
1126;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Moral Deeds Is Accumulating Creditputting Money Into Society.;The system cheated him.
1127;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Moral Deeds Is Accumulating Creditputting Money Into Society.;He deserves credit for his efforts.
1128;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Moral Deeds Is Accumulating Creditputting Money Into Society.;It's to your credit.
1129;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Immoral Deeds Is Accumulating Debttaking Money From Society.;He owes a debt to society.
1130;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Doing Immoral Deeds Is Accumulating Debttaking Money From Society.;You have to pay for your mistakes.
1131;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Benefitting Is Accumulating Debt.;He is indebted to her for her help.
1132;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Benefitting Is Accumulating Debt.;I couldn't possibly repay your kindness.
1133;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Debt Can Be Paid Off With Moral Deedspaying Back The Money.;I'll make it up to everyone for what I've done.
1134;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Debt Can Be Paid Off With Moral Deedspaying Back The Money.;I want to give back to society what I took from it.
1135;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Debt Can Be Paid Off With Punishmentthe Society Taking Money From You;He reentered society with a clean slate.
1136;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Debt Can Be Paid Off With Punishmentthe Society Taking Money From You;Haven't I paid enough for my mistakes?
1137;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Debt Can Be Paid Off With Punishmentthe Society Taking Money From You;They exacted the debt from his hide.
1138;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;Take into account all the good things he's done.
1139;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I'm holding you accountable.
1140;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;His lying counts against him in my book.
1141;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I owe you a favor for that good deed.
1142;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;You saved my life!  How could I ever repay you?
1143;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;"You've been so kind; I'm deeply indebted to you."
1144;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;Your generous acts have earned you my respect.
1145;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I owe you more than you'll ever know, for what you've done for me.
1146;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I'll pay you back for what you did to me.
1147;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I owe you one for that insult.
1148;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;The wages of sin is death.
1149;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;You'll get what you deserve for that!
1150;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;You'll get what's coming to you.
1151;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;You owe me an apology for your rudeness.
1152;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I demand an apology.
1153;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I'll make up for any harm I've done.
1154;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;One mistake cost me years of suffering.
1155;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I'll make you pay for what you did!
1156;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;I'll take it out of your hide.
1157;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;He'll get even with you for this.
1158;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;Take revenge.
1159;debt, accounting, balance;morality, immorality, morals;Moral Accounting;Moral Account Is Record Of Transactions;She never expects anything for what she's done.
1160;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;He's Mr. Clean.
1161;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;He has a blot on his past/ a clean past.
1162;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;His reputation is besmirched.
1163;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;He doesn't want to get his hands dirty.
1164;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;His record is spotless.
1165;clean, cleanliness;morality, morals, goodness;Morality Is Cleanliness;Morality Is Cleanliness;The magazine got the dirt about him.
1166;purity, pure;morality, morals, goodness;Morality Is Purity;Morality Is Purity;He is as pure as the driven snow.
1167;purity, pure;morality, morals, goodness;Morality Is Purity;Morality Is Purity;She is of pure heart.
1168;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Being Moral Is Being Straight.;He's straight.
1169;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Being Moral Is Being Straight.;I think he's being straight with me.
1170;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Being Immoral Is Being Crooked.;He's a crooked businessman.
1171;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Walking On The Path Is Being Moral.;He's gone straight.
1172;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Walking On The Path Is Being Moral.;He's on the straight and narrow path.
1173;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Diverging From The Path Is Being Immoral.;He is a deviant.
1174;straightness, path, straight path;morality, morals, goodness;Morality Is Straightness;Diverging From The Path Is Being Immoral.;She has strayed.
1175;motion, source;change, causation, cause;Necessary Prerequisite For Change Is Source Of Moving Entity;Necessary Prerequisite For Change Is Source Of Moving Entity;He died from maleria.
1176;motion, source;change, causation, cause;Necessary Prerequisite For Change Is Source Of Moving Entity;Necessary Prerequisite For Change Is Source Of Moving Entity;What's behind her slide into insanity?
1177;motion, source;change, causation, cause;Necessary Prerequisite For Change Is Source Of Moving Entity;Necessary Prerequisite For Change Is Source Of Moving Entity;She was crying from hunger.
1178;motion, source;change, causation, cause;Necessary Prerequisite For Change Is Source Of Moving Entity;Necessary Prerequisite For Change Is Source Of Moving Entity;He went back to polishing the silver out of a sense of duty.
1179;motion, source;change, causation, cause;Necessary Prerequisite For Change Is Source Of Moving Entity;Necessary Prerequisite For Change Is Source Of Moving Entity;What's behind her going back to school?
1180;;;Obligations Are Containers;Obligations Are Containers;What obligations have you gotten yourself into?
1181;;;Obligations Are Containers;Obligations Are Containers;Can you get out of doing the dishes?
1182;;;Obligations Are Containers;Obligations Are Containers;I can't get out of it, I'm locked into it.
1183;;;Obligations Are Containers;Obligations Are Containers;"Try to get out of those committments; don't let your boss box you in."
1184;;;Obligations Are Containers;Obligations Are Containers;"There's no way out; I have to do it."
1185;;;Obligations Are Containers;Obligations Are Containers;He trapped her into going with her.
1186;;;Obligations Are Containers;Obligations Are Containers;He made/fixed/arranged it so that she couldn't get out of it.
1187;;;Obligations Are Containers;Obligations Are Containers;Do you know what you're getting into?
1188;forces;obligations, responsibilities;Obligations Are Forces;Obligations Are Forces;I was forced to do it.
1189;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Possessions;I have a lot of responsibilities.
1190;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Possessions;That's his problem now.
1191;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Carried In The Hands;I wash my hands of the whole matter.
1192;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Carried In The Hands;It's out of my hands now.
1193;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Carried In The Hands;My hands are already full with just the work I have now.
1194;possessions, burdens;obligations, duties, responsibilities;Obligations Are Possessions;Obligations Are Burdens (on Shoulder Or Back);He's loaded with responsibilities.
